prev_close,open,bid,ask,client_timestamp,pair
0.9312,0.9314,0.9345,0.935,1685510654122,"USDEUR"
0.9312,0.9314,0.9352,0.9357,1685511739430,"USDEUR"
0.9312,0.9314,0.9349,0.9354,1685512965651,"USDEUR"
0.9312,0.9314,0.9351,0.9356,1685514429586,"USDEUR"
0.9312,0.9314,0.9352,0.9357,1685515335352,"USDEUR"
0.9312,0.9314,0.9361,0.9366,1685516586656,"USDEUR"
0.9312,0.9314,0.9362,0.9367,1685516719898,"USDEUR"
0.9312,0.9314,0.936,0.9365,1685516948947,"USDEUR"
0.9312,0.9314,0.9365,0.937,1685517216367,"USDEUR"
0.9312,0.9314,0.9366,0.9371,1685517738125,"USDEUR"
0.9312,0.9314,0.9361,0.9366,1685518930761,"USDEUR"
0.9312,0.9314,0.9367,0.9372,1685520160115,"USDEUR"
0.9312,0.9314,0.937,0.9375,1685520617914,"USDEUR"
0.9312,0.9314,0.9366,0.9371,1685521550363,"USDEUR"
0.9312,0.9314,0.9375,0.938,1685522529181,"USDEUR"
0.9312,0.9314,0.9372,0.9377,1685523785210,"USDEUR"
0.9312,0.9314,0.9375,0.938,1685525018852,"USDEUR"
0.9312,0.9314,0.9364,0.9369,1685526118617,"USDEUR"
0.9312,0.9314,0.9366,0.9371,1685527347356,"USDEUR"
0.9312,0.9314,0.937,0.9375,1685528722218,"USDEUR"
0.9312,0.9314,0.9365,0.937,1685529728165,"USDEUR"
0.9312,0.9314,0.9361,0.9366,1685530936179,"USDEUR"
0.9312,0.9314,0.9358,0.9363,1685532123201,"USDEUR"
0.9312,0.9314,0.9357,0.9362,1685533312184,"USDEUR"
0.9312,0.9314,0.9361,0.9366,1685534583917,"USDEUR"
0.9312,0.9314,0.9359,0.9364,1685536179792,"USDEUR"
0.9312,0.9314,0.9358,0.9363,1685537334777,"USDEUR"
0.9312,0.9314,0.9362,0.9367,1685538267930,"USDEUR"
0.9312,0.9314,0.9358,0.9363,1685539490239,"USDEUR"
0.9312,0.9314,0.9349,0.9354,1685540523857,"USDEUR"
0.9312,0.9314,0.9364,0.9369,1685541758037,"USDEUR"
0.9312,0.9314,0.9376,0.9381,1685543054174,"USDEUR"
0.9312,0.9314,0.9362,0.9367,1685544119995,"USDEUR"
0.9312,0.9314,0.9378,0.9383,1685545399045,"USDEUR"
0.9312,0.9314,0.9379,0.9384,1685546618016,"USDEUR"
0.9312,0.9314,0.9379,0.9384,1685547720849,"USDEUR"
0.9312,0.9314,0.9387,0.9392,1685548969179,"USDEUR"
0.9312,0.9314,0.9391,0.9396,1685550387253,"USDEUR"
0.9312,0.9314,0.9398,0.9403,1685551315935,"USDEUR"
0.9312,0.9314,0.9399,0.9404,1685552531463,"USDEUR"
0.9312,0.9314,0.9396,0.9401,1685553871788,"USDEUR"
0.9312,0.9314,0.9375,0.938,1685554913010,"USDEUR"
0.9312,0.9314,0.9373,0.9378,1685556155071,"USDEUR"
0.9312,0.9314,0.9365,0.937,1685557542608,"USDEUR"
0.9312,0.9314,0.9361,0.9366,1685558541497,"USDEUR"
0.9312,0.9314,0.9369,0.9374,1685559738403,"USDEUR"
0.9312,0.9314,0.9366,0.9371,1685560923417,"USDEUR"
0.9312,0.9314,0.9361,0.9366,1685562136501,"USDEUR"
0.9312,0.9314,0.9351,0.9356,1685563345662,"USDEUR"
0.9312,0.9314,0.9352,0.9357,1685564622964,"USDEUR"
0.9312,0.9314,0.935,0.9355,1685565722188,"USDEUR"
0.9312,0.9314,0.9353,0.9358,1685566971544,"USDEUR"
0.9312,0.9314,0.9354,0.9359,1685568130878,"USDEUR"
0.9312,0.9314,0.9355,0.936,1685569323304,"USDEUR"
0.9312,0.9352,0.9353,0.9358,1685571858988,"USDEUR"
0.9312,0.9352,0.9351,0.9356,1685572915925,"USDEUR"
